source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
who.gho.air-35,2026-09-07T15:17:15Z,2026-09-07T15:18:00Z,2026-09-07T15:18:00Z,0,0,720,89.8,0.000,4,active
who.gho.air-42,2026-09-07T15:18:04Z,2026-09-07T15:18:36Z,2026-09-07T15:18:36Z,0,0,720,89.8,0.000,4,active
who.gho.air-90,2026-09-07T15:18:43Z,2026-09-07T15:19:08Z,2026-09-07T15:19:08Z,0,0,720,89.8,0.000,4,active
who.gho.bp-03,2026-09-07T15:19:14Z,2026-09-07T15:21:53Z,2026-09-07T15:21:53Z,0,0,720,89.7,0.000,19,active
who.gho.childmort5to14,2026-09-07T15:24:56Z,2026-09-07T15:50:48Z,2026-09-07T15:50:48Z,0,0,720,89.2,0.000,27,active
who.gho.cm-02,2026-09-07T15:50:52Z,2026-09-07T15:58:25Z,2026-09-07T15:58:25Z,0,0,720,89.1,0.000,44,active
who.gho.cm-04,2026-09-07T15:58:30Z,2026-09-07T16:00:26Z,2026-09-07T16:00:26Z,0,0,720,89.1,0.000,27,active
who.gho.gasp-isolatestested-number,2026-09-07T16:02:30Z,2026-09-07T16:02:37Z,2026-09-07T16:02:37Z,0,0,720,89.0,0.000,3,active
who.gho.ghed-extche-sha2011,2026-09-07T16:02:41Z,2026-09-07T16:02:59Z,2026-09-07T16:02:59Z,0,0,720,89.0,0.000,5,active
who.gho.hepatitis-hbv-treatment-anc-percent,2026-09-07T16:03:04Z,2026-09-07T16:03:04Z,2026-09-07T16:03:04Z,0,0,720,89.0,0.000,1,active
who.gho.hepatitis-hbv-treatment-perinfected-per100,2026-09-07T16:03:07Z,2026-09-07T16:03:07Z,2026-09-07T16:03:07Z,0,0,720,89.0,0.000,1,active
who.gho.hepatitis-hcv-prevalence-per100,2026-09-07T16:03:10Z,2026-09-07T16:03:10Z,2026-09-07T16:03:10Z,0,0,720,89.0,0.000,1,active
who.gho.hiv-0000000020,2026-09-07T16:03:13Z,2026-09-07T16:03:17Z,2026-09-07T16:03:17Z,0,0,720,89.0,0.000,2,active
who.gho.hiv-0000000023,2026-09-07T16:03:20Z,2026-09-07T16:03:29Z,2026-09-07T16:03:29Z,0,0,720,89.0,0.000,3,active
who.gho.hwf-0014,2026-09-07T16:03:33Z,2026-09-07T16:03:46Z,2026-09-07T16:03:46Z,0,0,720,89.0,0.000,4,active
who.gho.hwf-0017,2026-09-07T16:03:49Z,2026-09-07T16:03:49Z,2026-09-07T16:03:49Z,0,0,720,89.0,0.000,1,active
who.gho.malaria-est-cases,2026-09-07T16:03:52Z,2026-09-07T16:04:02Z,2026-09-07T16:04:02Z,0,0,720,89.0,0.000,3,active
who.gho.malaria-imported,2026-09-07T16:04:05Z,2026-09-07T16:04:05Z,2026-09-07T16:04:05Z,0,0,720,89.0,0.000,1,active
who.gho.malaria-total-cases,2026-09-07T16:04:09Z,2026-09-07T16:04:13Z,2026-09-07T16:04:13Z,0,0,720,89.0,0.000,2,active
who.gho.mdg-0000000003,2026-09-07T16:04:16Z,2026-09-07T16:04:48Z,2026-09-07T16:04:48Z,0,0,720,89.0,0.000,8,active
who.gho.mdg-0000000007,2026-09-07T16:04:52Z,2026-09-07T16:11:26Z,2026-09-07T16:11:26Z,0,0,720,88.9,0.000,65,active
who.gho.mdg-0000000017,2026-09-07T16:11:35Z,2026-09-07T16:11:50Z,2026-09-07T16:11:50Z,0,0,720,88.9,0.000,5,active
who.gho.mdg-0000000025,2026-09-07T16:11:54Z,2026-09-07T16:12:02Z,2026-09-07T16:12:02Z,0,0,720,88.9,0.000,3,active
who.gho.ncd-bmi-18a,2026-09-07T16:12:06Z,2026-09-07T16:17:03Z,2026-09-07T16:17:03Z,0,0,720,88.8,0.000,29,active
who.gho.ncd-hyp-diagnosis-a,2026-09-07T16:17:08Z,2026-09-07T16:22:06Z,2026-09-07T16:22:06Z,0,0,720,88.7,0.000,20,active
who.gho.ncd-hyp-treatment-a,2026-09-07T16:22:12Z,2026-09-07T16:28:58Z,2026-09-07T16:28:58Z,0,0,720,88.6,0.000,20,active
who.gho.ntd-7,2026-09-07T16:29:02Z,2026-09-07T16:29:31Z,2026-09-07T16:29:31Z,0,0,720,88.6,0.000,2,active
who.gho.ntd-bu-conf,2026-09-07T16:29:34Z,2026-09-07T16:29:34Z,2026-09-07T16:29:34Z,0,0,720,88.6,0.000,1,active
who.gho.ntd-lepr3,2026-09-07T16:29:38Z,2026-09-07T16:30:12Z,2026-09-07T16:30:12Z,0,0,720,88.6,0.000,3,active
who.gho.ntd-lepr8,2026-09-07T16:30:20Z,2026-09-07T16:30:59Z,2026-09-07T16:30:59Z,0,0,720,88.6,0.000,3,active
who.gho.rhr-npsv,2026-09-07T16:31:03Z,2026-09-07T16:31:03Z,2026-09-07T16:31:03Z,0,0,720,88.6,0.000,1,active
who.gho.sa-0000001518,2026-09-07T16:33:09Z,2026-09-07T16:33:21Z,2026-09-07T16:33:21Z,0,0,720,88.5,0.000,2,active
who.gho.sa-0000001531,2026-09-07T16:33:25Z,2026-09-07T16:33:36Z,2026-09-07T16:33:36Z,0,0,720,88.5,0.000,2,active
who.gho.sa-0000001544,2026-09-07T16:33:41Z,2026-09-07T16:33:53Z,2026-09-07T16:33:53Z,0,0,720,88.5,0.000,2,active
who.gho.sa-0000001728,2026-09-07T16:34:00Z,2026-09-07T16:34:00Z,2026-09-07T16:34:00Z,0,0,720,88.5,0.000,1,active
who.gho.sa-0000001730,2026-09-07T16:34:04Z,2026-09-07T16:34:24Z,2026-09-07T16:34:24Z,0,0,720,88.5,0.000,3,active
who.gho.taxbev-importduties,2026-09-07T16:34:27Z,2026-09-07T16:34:27Z,2026-09-07T16:34:27Z,0,0,720,88.5,0.000,1,active
who.gho.taxbev-price,2026-09-07T16:34:34Z,2026-09-07T16:35:03Z,2026-09-07T16:35:03Z,0,0,720,88.5,0.000,3,active
who.gho.taxbev-vatspecial-lohi,2026-09-07T16:35:11Z,2026-09-07T16:35:11Z,2026-09-07T16:35:11Z,0,0,720,88.5,0.000,1,active
who.gho.tb-1,2026-09-07T16:35:17Z,2026-09-07T16:36:09Z,2026-09-07T16:36:09Z,0,0,720,88.5,0.000,6,active
who.gho.tb-c-xdr-tsr,2026-09-07T16:36:12Z,2026-09-07T16:36:19Z,2026-09-07T16:36:19Z,0,0,720,88.5,0.000,2,active
who.gho.tb-rr-mdr,2026-09-07T16:36:23Z,2026-09-07T16:36:59Z,2026-09-07T16:36:59Z,0,0,720,88.5,0.000,4,active
who.gho.tobacco-mpower-m4-prevalence,2026-09-07T16:37:08Z,2026-09-07T16:39:22Z,2026-09-07T16:39:22Z,0,0,720,88.4,0.000,3,active
