indicator_code,indicator_name,last_published,days_since,status
WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),2026-01-23,226,ok
SA_0000001439,"Age-standardized death rates, colon and rectum cancers, per 100,000",2013-06-11,4835,ok
OCC_22,Occupational injuries attributable DALYs per 100'000 capita,2013-06-11,4835,ok
SA_0000001477,Social costs of alcohol use in millions US$,2013-06-11,4835,ok
NCD_CCS_HearingPlan,Existence of operational policy/strategy/action plan for hearing health,2022-04-25,1595,ok
TOTENV_5,Deaths attributable to the environment (%),2016-09-29,3629,ok
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",2022-08-03,1495,ok
FOODBORNE_ILL_100K_TOTAL,,,,empty
GOE_Q060,Effectiveness,2018-03-28,3084,ok
SA_0000001706,National treatment policy for alcohol use disorders,2013-06-11,4835,ok
SA_0000001728,Detection of marketing infringements,2026-07-06,62,ok
RSUD_690,Special housing services for drug use disorders,2017-09-06,3287,ok
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2025-11-11,299,ok
GOE_Q176,Which allows individuals to demand that their own data be corrected  when held in an EHR if it is known to be inaccurate,2018-03-28,3084,ok
TB_1,Tuberculosis treatment coverage,2025-11-11,299,ok
R_afford_price_dispersion,Tobacco tax structure: Price dispersion: Share of cheapest brand price in premium brand price (%) (the higher the % the smaller the gap),2024-01-12,968,ok
AIR_73,,,,empty
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),2021-06-25,1899,ok
R_Ad_val_estimate,Most sold brand of cigarettes - taxes as a % of price - ad valorem excise,2021-12-15,1726,ok
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),2013-10-07,4717,ok
SA_0000001555_ARCHIVED,Health warning labels on alcohol containers,2018-09-27,2901,ok
MALARIA_EST_CASES,Estimated number of malaria cases,2025-12-19,261,ok
FOODBORNE_DTH_100K_GE5,,,,empty
ITU_ICT_1,Percentage of individuals using the Internet,2013-11-21,4672,ok
EMFPOWERFREQUENCY,Power frequency (Hz),2018-06-11,3009,ok
MDG_0000000018,,,,empty
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,2026-07-31,37,ok
IHRSPAR2_C14,Chemical events,2024-05-14,845,ok
AIR_35,Joint effects of air pollution attributable deaths,2026-06-15,83,ok
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),2016-03-09,3833,ok
MDG_0000000024,,,,empty
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years,2013-06-11,4835,ok
MALARIA001,,,,empty
RSUD_26,Governement benefits for persons with substance use disorders,2013-06-11,4835,ok
HRH_41,Number of licensed qualified surgeons actively working,2017-02-17,3488,ok
P4_govt,National smoking ban in GOVERNMENT FACILITIES,2023-10-17,1055,ok
NTD_BU_END,Status of endemicity of Buruli ulcer,2025-07-01,432,ok
NCD_CCS_dialysis,General availability of dialysis in the public health system,2022-04-25,1595,ok
SCSUD_REHAB,"Substance use disorders service coverage, rehabilitation programmes",2024-09-03,733,ok
WCO_KEYFUNCTIONS,,,,empty
SA_0000001697,"Adopted written national policy on alcohol, year adopted",2024-06-19,809,ok
SDGIHR,Average of 13 International Health Regulations core capacity scores,2024-05-14,845,ok
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",2022-12-12,1364,ok
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2021-06-21,1903,ok
MDG_0000000003,Adolescent birth rate (per 1000 women),2026-04-02,157,ok
HWF_0014,"Pharmacists  (per 10,000)",2026-03-11,179,ok
P3_universities,National smoking ban in UNIVERSITIES,2023-10-17,1055,ok
SA_0000001547,Excise duty (average) per hectolitre in Euros,2018-10-26,2872,ok
SA_0000001516,Restrictions on product placement on national television,2018-09-03,2925,ok
DEVICES01,Total density per 100 000 population: Health posts,2014-03-03,4570,ok
GDO_q6x1_2,"Number of neurologists (per 100,000)",2017-12-08,3194,ok
RADON_Q501_1,Reference level for dwellings (Bq/m3),2021-06-04,1920,ok
SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,2014-01-10,4622,ok
WHS9_93,,,,empty
FOODBORNE_DALY_100k_TOTAL,,,,empty
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),2025-04-10,514,ok
P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES,2015-08-20,4035,ok
PRISON_B11_VACPREV_DTP,In-prison vaccination for DTP,2023-01-23,1322,ok
RSUD_820,Epidemiological data collection for substance use,2017-08-28,3296,ok
GB_XPD_RSDV,,,,empty
RS_238,Existence of a universal access telephone number for pre-hospital care,2020-06-05,2284,ok
WCO_CORESTAFFCPCP_NUM,,,,empty
GOE_Q155,Lack of funding,2018-03-28,3084,ok
SA_0000001532_ARCHIVED,On-premise sales restrictions on hours,2018-09-27,2901,ok
NCD_CCS_LIS_HYDRO_COMBO,General availability of Fixed dose combination avail (lisinopril + hydrochlorothiazide) in the public health sector,2022-04-25,1595,ok
SHS_10,Second-hand smoke attributable DALYs ('000) in children under 5 years,2013-06-11,4835,ok
GOE_Q136,Lack of evidence over cost-effectiveness,2018-03-28,3084,ok
M_survey_title_adult,,,,empty
RSUD_280,Financing methods for treatment for drug use disorders,2017-08-29,3295,ok
RSUD_100,Government unit/official responsible for prevention for substance use,2017-08-28,3296,ok
ANC_ATLEAST1VISIT_PERCENT,Antenatal care coverage - at least one visit (percent),2025-03-20,535,ok
NCD_CCS_Nicotine,General availability of nicotine replacement therapy in the public health sector,2022-04-25,1595,ok
EMFLIMITPOWERDENSITY1800,,,,empty
NCD_CCS_dietpaaware,Implementation of diet and/or physical activity public awareness program,2016-11-21,3576,ok
W2_pc_front_back_C,Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging,2023-12-13,998,ok
CaseCS,"Congenital syphilis number of cases, reported",2025-07-10,423,ok
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),2026-04-10,149,ok
Rev_excise,Annual tax revenues - total excise (specific and ad valorem),2024-01-11,969,ok
HEPATITIS_HCV_PREVALENCE_PER100,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),2026-08-03,34,ok
SA_0000001828_AA,,,,empty
RSUD_62,Supervision requirements for buprenorphine administration,2013-06-11,4835,ok
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),2022-04-04,1616,ok
M_svy_national_adult,,,,empty
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2026-08-05,32,ok
RADON_Q503_1,Reference level for workplaces (Bq/m3),2021-06-04,1920,ok
GOE_Q070,Strategy includes objectives as to how telehealth contributes to UHC,2018-03-28,3084,ok
RADON_Q801,Existence of national radon risk communication strategy,2021-06-04,1920,ok
HEPATITIS_HBV_TREATMENT_ANC_PERCENT,Eligible women attending antenatal care who were treated for HBV,2026-08-03,34,ok
HIV_0000000020,Estimated number of pregnant women living with HIV,2026-07-31,37,ok
AIR_4,,,,empty
IHRSPAR2_C12,Zoonotic diseases,2024-05-14,845,ok
