indicator_code,indicator_name,last_published,days_since,status
EMFLIMITELECTRICRF,Electric field (V/m),2017-05-31,3400,ok
EMFLIMITMAGNETIC,Magnetic flux density (microT),2018-06-20,3015,ok
HCF_NO_ELECTRICITY,Percentage of health-care facilities with no access to any electricity supply (%),2022-12-22,1369,ok
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),2026-07-31,52,ok
HIV_0000000006,Number of people dying from HIV-related causes,2026-07-31,52,ok
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,2026-07-31,52,ok
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,2026-07-31,52,ok
HIV_0000000020,Estimated number of pregnant women living with HIV,2026-07-31,52,ok
HIV_0000000012,"Reported number of children receiving antiretroviral therapy, month and year of report",2013-06-11,4850,ok
HIV_0000000024,Estimated antiretroviral therapy coverage among children,2026-07-31,52,ok
EQ_CONDOMUSE,People who identify the use of condoms as a way to avoid AIDS (%),,,empty
HIV_0000000011,Reported number of children receiving antiretroviral therapy,2026-07-31,52,ok
HIV_0000000007,"Testing and counselling facilities, reported number",2016-03-21,3836,ok
HRH_03,Number of midwifery personnel,,,empty
HRH_02,Number of physicians,,,empty
HRH_01,Number of nursing personnel,,,empty
HRH_09,Number of other health workers,,,empty
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,2018-12-06,2846,ok
HRH_04,Number of pharmacists,,,empty
HRH_08,Number of radiographers,,,empty
GOE_Q203,Lack of integration between various health services,2018-03-28,3099,ok
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",2023-05-25,1215,ok
FINPROTECTION_IMP_PG_190,"Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars",,,empty
HCF_REL_ELECTRICITY,Percentage of health-care facilities with reliable electricity supply (%),2022-12-22,1369,ok
HRH_18,Number of personal care workers,,,empty
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)",2023-05-04,1236,ok
HRH_13,Number of laboratory scientists,,,empty
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",2016-03-21,3836,ok
EMFSAR,Specific absorption rate (SAR) (W/kg),2017-05-31,3400,ok
GDO_q10x1x1,Availability of generic anti-dementia medication,2021-06-25,1914,ok
HRH_15,Number of dentists,,,empty
EMFSTATUS,Legislative status,2018-06-11,3024,ok
GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement,2021-06-25,1914,ok
EMFLIMITPOWERDENSITY,Power density (W/m^2),2017-05-31,3400,ok
FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)",2023-05-04,1236,ok
EQ_OVERWEIGHTADULT,Prevalence of overweight and obesity,,,empty
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",2024-06-04,839,ok
HIV_0000000016,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,2026-07-31,52,ok
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,,,empty
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),2023-05-25,1215,ok
HIV_0000000022,Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines,2014-02-11,4605,ok
EMFLIMITELECTRIC900,Electric field limit at 900 MHz (V/m),,,empty
HIV_0000000025,"Testing and counselling facilities, reporting period",2016-03-22,3835,ok
EMFSTANDARD,Existence of standards,2018-06-11,3024,ok
EMFLIMITPOWERDENSITY1800,Power density limit at 1800 MHz (W/m^2),,,empty
EMFLIMITELECTRICLF,Electric field (kV/m),2018-06-11,3024,ok
FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",2024-06-04,839,ok
HRH_10,Number of dental technicians/assistants,,,empty
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)",2023-05-04,1236,ok
HRH_27,Laboratory health workers density (per 1000 population),,,empty
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),2023-05-18,1222,ok
HRH_31,Environmental and public health workers density (per 1000 population),,,empty
HRH_26,Physicians density (per 1000 population),,,empty
HRH_19,Number of pharmaceutical personnel,,,empty
HRH_11,Number of health management & support workers,,,empty
HSS_COMPREHENSIVEHEALTHPOLICY,Countries that have a comprehensive national health sector policy/ strategy/ plan with goals and targets updated within the last 5 years,,,empty
HRH_12,Number of environment and public health workers,,,empty
HRH_14,Number of laboratory technicians/assistants,,,empty
HRH_33,Nursing and midwifery personnel density (per 1000 population),,,empty
HRH_32,Health management & support workers density (per 1000 population),,,empty
HRH_30,Other health workers density (per 1000 population),,,empty
AIR_16,Household air pollution attributable DALYs in children under 5 years,,,empty
fps,Demand for family planning satisfied - modern and traditional methods (%),,,empty
GDO_q12x1,Existence of dementia carer support services,2021-06-25,1914,ok
HWF_0004,Specialist medical practitioners (number),2026-01-23,241,ok
HWF_0006,"Nursing and midwifery personnel (per 10,000)",2026-03-11,194,ok
AIR_12,Household air pollution attributable deaths in children under 5 years,,,empty
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2014-07-04,4462,ok
AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years,,,empty
HWF_0008,Nursing personnel (number),2026-01-23,241,ok
GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services,2021-06-25,1914,ok
AIR_3,Percentage of the total population living in cities > 100'000 inhabitants,,,empty
HIV_0000000001,Estimated number of people (all ages) living with HIV,2026-07-31,52,ok
GDO_q12x1x2,Existence of dedicated resources for dementia carer support services,2021-06-25,1914,ok
HWF_0001,"Medical doctors (per 10,000)",2026-03-11,194,ok
HIV_0000000026,Number of new HIV infections,2026-07-31,52,ok
HRH_46,Number of biomedical technicians,2018-08-29,2945,ok
AIR_13,Household air pollution attributable deaths per 100'000 capita,,,empty
HWF_0007,Nursing and midwifery personnel  (number),2026-01-23,241,ok
HWF_0002,Medical doctors (number),2026-01-23,241,ok
HRH_07,Number of traditional birth attendants,,,empty
HRH_06,Number of community health workers,,,empty
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),2026-01-23,241,ok
HWF_0014,"Pharmacists  (per 10,000)",2026-03-11,194,ok
HWF_0010,"Dentists (per 10,000)",2026-03-11,194,ok
HWF_0023,Traditional and Complementary Medicine Professionals  (number),2026-01-23,241,ok
AIR_11,Household air pollution attributable deaths,2026-06-15,98,ok
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years,,,empty
AIR_17,Household air pollution attributable DALYs (per 100 000 population),,,empty
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2026-06-15,98,ok
HWF_0005,Medical doctors not further defined (number),2026-01-23,241,ok
HRH_25,Pharmaceutical personnel density (per 1000 population),,,empty
HRH_43,Number of licensed qualified anaesthesiologists actively working,2017-02-17,3503,ok
AIR_43,Ambient air pollution attributable DALYs,,,empty
AIR_44,DALYs attributable to ambient air pollution (age-standardized),,,empty
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,,,empty
HRH_45,Biomedical technicians density (per 10 000 population),2018-08-29,2945,ok
AIR_41,Ambient air pollution attributable deaths,2026-06-15,98,ok
HSS_MONITORPROGRESS,Countries that have monitored the progress of their national health policy/strategy/plan regularly,,,empty
MENING_2,Number of suspected meningitis cases reported,2015-04-21,4171,ok
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),2017-04-04,3457,ok
HWF_0003,Generalist medical practitioners (number),2026-01-23,241,ok
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions),2023-05-18,1222,ok
MENING_1,Number of suspected meningitis deaths reported,2015-04-21,4171,ok
MH_10,"Mental health outpatient facilities (per 100,000)",2019-04-25,2706,ok
GB_XPD_RSDV,Research and development (R&amp;D) expenditure as a proportion of GDP,,,empty
MH_11,"Mental health day treatment facilities (per 100,000)",2019-04-25,2706,ok
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)",2023-05-18,1222,ok
GDO_q10x1,National regulator approval of anti-dementia medication,2021-06-25,1914,ok
IHR07,Human resources,,,empty
fullv,Full immunization coverage among one-year-olds (%),,,empty
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia,2021-06-25,1914,ok
HWF_0012,Dental Assistants and Therapists (number),2026-01-23,241,ok
HWF_0011,Dentists (number),2026-01-23,241,ok
HWF_0009,Midwifery personnel (number),2026-01-23,241,ok
AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years,,,empty
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),2026-01-23,241,ok
IHR03,Surveillance,,,empty
IHR12,Chemical,,,empty
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,2017-06-12,3388,ok
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,,empty
AIR_36,Joint effects of air pollution attributable deaths in children under 5 years,,,empty
