indicator_code,indicator_name,last_published,days_since,rows,size_status
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),2026-07-31,52,3848,ok
HIV_0000000006,Number of people dying from HIV-related causes,2026-07-31,52,3788,ok
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,2026-07-31,52,2599,ok
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,2026-07-31,52,1577,ok
HIV_0000000020,Estimated number of pregnant women living with HIV,2026-07-31,52,1498,ok
HIV_0000000024,Estimated antiretroviral therapy coverage among children,2026-07-31,52,2489,ok
HIV_0000000011,Reported number of children receiving antiretroviral therapy,2026-07-31,52,3341,ok
HIV_0000000016,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,2026-07-31,52,1936,ok
HWF_0004,Specialist medical practitioners (number),2026-01-23,241,1791,ok
HWF_0006,"Nursing and midwifery personnel (per 10,000)",2026-03-11,194,3593,ok
HWF_0008,Nursing personnel (number),2026-01-23,241,3859,ok
HIV_0000000001,Estimated number of people (all ages) living with HIV,2026-07-31,52,3892,ok
HWF_0001,"Medical doctors (per 10,000)",2026-03-11,194,3693,ok
HIV_0000000026,Number of new HIV infections,2026-07-31,52,3792,ok
HWF_0007,Nursing and midwifery personnel  (number),2026-01-23,241,3859,ok
HWF_0002,Medical doctors (number),2026-01-23,241,4293,ok
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),2026-01-23,241,268,ok
HWF_0014,"Pharmacists  (per 10,000)",2026-03-11,194,3085,ok
HWF_0010,"Dentists (per 10,000)",2026-03-11,194,3348,ok
HWF_0023,Traditional and Complementary Medicine Professionals  (number),2026-01-23,241,239,ok
AIR_11,Household air pollution attributable deaths,2026-06-15,98,3384,ok
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2026-06-15,98,3572,ok
HWF_0005,Medical doctors not further defined (number),2026-01-23,241,3105,ok
AIR_41,Ambient air pollution attributable deaths,2026-06-15,98,3456,ok
HWF_0003,Generalist medical practitioners (number),2026-01-23,241,1943,ok
HWF_0012,Dental Assistants and Therapists (number),2026-01-23,241,566,ok
HWF_0011,Dentists (number),2026-01-23,241,3791,ok
HWF_0009,Midwifery personnel (number),2026-01-23,241,2529,ok
